Year,Offset ID,Type,X,Y,Latitude,Longitude,Size,Capture Efficiency (%),Power Consumption (MW),CO2 Offset (tonnes),Negative CO2 Emissions (tonnes),Cost (€),Operating Cost (€),Total Annual Cost (€),Cost Per Tonne (€)
2036,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,695874664.41,87510.56,695962174.97,1679414.64
2036,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,695874664.41,87510.56,695962174.97,2243202.64
2036,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1122.02,-1122.02,1364917.74,20473.77,1385391.51,1234.73
2036,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,84674149.44,7605.77,84681755.21,484409.01
2036,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1656.61,-1656.61,1364917.74,20473.77,1385391.51,836.28
2036,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,695874664.41,87510.56,695962174.97,1385143.18
2036,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1241.74,-1241.74,1364917.74,20473.77,1385391.51,1115.68
2037,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,673310928.42,86455.62,673397384.04,1624963.92
2037,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,673310928.42,86455.62,673397384.04,2170472.54
2037,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1175.29,-1175.29,1404070.41,21061.06,1425131.46,1212.58
2037,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,88827839.84,7901.41,88835741.24,508171.25
2037,Offset_Wetland_2027_4,Wetland,4581.589699,12893.984861,52.431519,-10.169331,0,85.00,0,1735.26,-1735.26,1404070.41,21061.06,1425131.46,821.28
2037,Offset_ActiveCapture_2029_5,ActiveCapture,34473.000606,44340.821137,54.947266,-7.359538,502.4478243356396,85.00,333.7242703612846,502.45,-502.45,673310928.42,86455.62,673397384.04,1340233.46
2037,Offset_Wetland_2035_6,Wetland,6426.452485,13030.369660,52.442430,-9.995913,0,85.00,0,1300.70,-1300.70,1404070.41,21061.06,1425131.46,1095.66
2038,Offset_ActiveCapture_2025_0,ActiveCapture,6563.621883,48089.858342,55.247189,-9.983020,414.4075906895928,85.00,261.0791553849769,414.41,-414.41,651478821.56,85413.39,651564234.96,1572278.72
2038,Offset_ActiveCapture_2025_1,ActiveCapture,46783.124222,3598.399877,51.687872,-6.202386,310.25381460988444,85.00,200.41717781710713,310.25,-310.25,651478821.56,85413.39,651564234.96,2100100.64
2038,Offset_Wetland_2026_2,Wetland,18531.760859,11238.071255,52.299046,-8.858014,0,85.00,0,1223.50,-1223.50,1444346.16,21665.19,1466011.36,1198.21
2038,Offset_CarbonCredit_2027_3,CarbonCredit,42318.543357,40679.303890,54.654344,-6.622057,174.8145755293777,85.00,0,174.81,-174.81,93185289.52,8208.54,93193498.06,533099.13
