Year,Action Type,Details,Capital Cost (EUR),Operating Cost (EUR),Location X,Location Y,Generator Type,Power Output (MW),Efficiency,CO2 Output (tonnes),Operation Percentage,Lifespan (years),Previous State,Impact Description
2046,Add Generator,"GasCombinedCycle",1515666343.90,151566.63,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2046,Add Generator,"OnshoreWind",527480.51,26374.03,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2047,Add Generator,"GasPeaker",772989835.39,123678.37,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2047,Add Generator,"Biomass",512936556.86,76940.48,0.0,0.0,"Biomass",50.00,1.000,50.00,100,25,"New Installation","Added new Biomass power generation capacity"
2047,Add Generator,"GasPeaker",772989835.39,123678.37,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2047,Add Generator,"TidalGenerator",147715635.33,19695.42,0.0,0.0,"TidalGenerator",200.00,1.220,0.00,100,25,"New Installation","Added new TidalGenerator power generation capacity"
2047,Add Generator,"OnshoreWind",511656.10,25582.80,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2047,Add Generator,"UtilitySolar",159710.03,2395.65,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2047,Add Generator,"HydroDam",3347916466.04,66958.33,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2047,Add Generator,"CommercialSolar",20259.32,4051.86,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2047,Add Generator,"GasCombinedCycle",1545979670.78,154597.97,0.0,0.0,"GasCombinedCycle",800.00,1.000,500.00,100,30,"New Installation","Added new GasCombinedCycle power generation capacity"
2048,Add Generator,"Nuclear",6285815091.74,314290.75,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2048,Add Generator,"PumpedStorage",2514326036.70,50286.52,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2048,Add Generator,"UtilitySolar",146933.23,2204.00,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2048,Add Generator,"DomesticSolar",1884.12,37.68,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2048,Add Generator,"PumpedStorage",2514326036.70,50286.52,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2048,Add Generator,"WaveEnergy",52856872.11,13214.22,0.0,0.0,"WaveEnergy",100.00,1.230,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2048,Add Generator,"GasPeaker",788449632.10,126151.94,0.0,0.0,"GasPeaker",400.00,1.000,700.00,100,25,"New Installation","Added new GasPeaker power generation capacity"
2048,Add Generator,"UtilitySolar",146933.23,2204.00,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2049,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2049,Add Generator,"WaveEnergy",46514047.45,11628.51,0.0,0.0,"WaveEnergy",100.00,1.240,0.00,100,20,"New Installation","Added new WaveEnergy power generation capacity"
2049,Add Generator,"OnshoreWind",481417.22,24070.86,0.0,0.0,"OnshoreWind",500.00,1.000,0.00,100,25,"New Installation","Added new OnshoreWind power generation capacity"
2049,Add Generator,"PumpedStorage",2539469297.06,50789.39,0.0,0.0,"PumpedStorage",600.00,1.000,0.00,100,80,"New Installation","Added new PumpedStorage power generation capacity"
2049,Add Generator,"Nuclear",6348673242.66,317433.66,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
2049,Add Generator,"HydroDam",3381479328.62,67629.59,0.0,0.0,"HydroDam",1200.00,1.000,0.00,100,100,"New Installation","Added new HydroDam power generation capacity"
2049,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2049,Add Generator,"CommercialSolar",17522.29,3504.46,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2049,Add Carbon Offset,"Wetland",15000000.00,750000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Wetland carbon offset project"
2050,Add Generator,"CommercialSolar",16295.73,3259.15,0.0,0.0,"CommercialSolar",50.00,1.000,0.00,100,25,"New Installation","Added new CommercialSolar power generation capacity"
2050,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2050,Add Generator,"UtilitySolar",124364.29,1865.46,0.0,0.0,"UtilitySolar",300.00,1.000,0.00,100,30,"New Installation","Added new UtilitySolar power generation capacity"
2050,Add Carbon Offset,"CarbonCredit",5000000.00,250000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new CarbonCredit carbon offset project"
2050,Add Generator,"OffshoreWind",554779.15,27738.96,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2050,Add Carbon Offset,"Forest",10000000.00,500000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new Forest carbon offset project"
2050,Add Generator,"DomesticSolar",1629.57,32.59,0.0,0.0,"DomesticSolar",10.00,1.000,0.00,100,20,"New Installation","Added new DomesticSolar power generation capacity"
2050,Add Generator,"OffshoreWind",554779.15,27738.96,0.0,0.0,"OffshoreWind",800.00,1.000,0.00,100,25,"New Installation","Added new OffshoreWind power generation capacity"
2050,Add Carbon Offset,"ActiveCapture",100000000.00,5000000.00,0.0,0.0,"Carbon Offset",0.00,0.000,0.00,100,30,"New Offset","Added new ActiveCapture carbon offset project"
2050,Add Generator,"Nuclear",6412159975.09,320608.00,0.0,0.0,"Nuclear",1500.00,1.000,0.00,100,60,"New Installation","Added new Nuclear power generation capacity"
